InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,DayName
577772,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2011-11-21 15:53:00,1.45,18139,United Kingdom,Monday
543911,48138,DOORMAT UNION FLAG,2,2011-02-14 12:46:00,7.95,17829,United Arab Emirates,Monday
579472,23326,HANGING MINI COLOURED BOTTLES,4,2011-11-29 15:09:00,0.63,13521,United Kingdom,Tuesday
568564,21926,RED/CREAM STRIPE CUSHION COVER ,4,2011-09-27 17:03:00,1.25,17576,United Kingdom,Tuesday
570103,23196,VINTAGE LEAF MAGNETIC NOTEPAD,2,2011-10-07 12:18:00,1.45,15719,United Kingdom,Friday
557935,21755,LOVE BUILDING BLOCK WORD,6,2011-06-23 15:26:00,5.95,13929,United Kingdom,Thursday
574726,22620,4 TRADITIONAL SPINNING TOPS,1,2011-11-06 14:56:00,1.45,14664,United Kingdom,Sunday
542407,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-01-27 16:17:00,1.25,15601,United Kingdom,Thursday
552852,22979,PANTRY WASHING UP BRUSH,6,2011-05-11 15:08:00,1.45,16712,United Kingdom,Wednesday
539728,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2010-12-21 14:26:00,4.95,16270,United Kingdom,Tuesday
559202,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,2011-07-07 10:40:00,0.85,13583,United Kingdom,Thursday
555739,23256,CHILDRENS CUTLERY SPACEBOY ,4,2011-06-07 09:49:00,4.15,12380,Belgium,Tuesday
566234,21166,COOK WITH WINE METAL SIGN ,2,2011-09-11 11:08:00,2.08,15035,United Kingdom,Sunday
569524,48188,DOORMAT WELCOME PUPPIES,2,2011-10-04 14:42:00,8.25,14506,United Kingdom,Tuesday
537236,21531,RED RETROSPOT SUGAR JAM BOWL,24,2010-12-06 09:52:00,2.1,16858,United Kingdom,Monday
543293,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-02-07 11:20:00,0.85,17613,United Kingdom,Monday
547822,22982,PANTRY PASTRY BRUSH,12,2011-03-25 14:53:00,1.25,12668,Germany,Friday
580774,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-12-06 11:05:00,2.95,13994,United Kingdom,Tuesday
541489,85064,CREAM SWEETHEART LETTER RACK,2,2011-01-18 13:38:00,5.45,15023,United Kingdom,Tuesday
581412,23255,CHILDRENS CUTLERY CIRCUS PARADE,3,2011-12-08 14:38:00,4.15,14415,United Kingdom,Thursday
574719,21136,PAINTED METAL PEARS ASSORTED,16,2011-11-06 14:38:00,1.69,14511,United Kingdom,Sunday
565838,47566,PARTY BUNTING,4,2011-09-07 11:43:00,4.95,15071,United Kingdom,Wednesday
547716,22084,PAPER CHAIN KIT EMPIRE,15,2011-03-25 08:52:00,2.95,16833,United Kingdom,Friday
555648,22624,IVORY KITCHEN SCALES,1,2011-06-06 13:46:00,8.5,14623,United Kingdom,Monday
549679,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-04-11 12:59:00,1.25,16407,United Kingdom,Monday
562393,23154,SET OF 4 JAM JAR MAGNETS,24,2011-08-04 16:17:00,2.08,18172,United Kingdom,Thursday
547240,21983,PACK OF 12 BLUE PAISLEY TISSUES ,2,2011-03-21 16:32:00,0.29,17585,United Kingdom,Monday
566913,21698,MOCK LOBSTER FRIDGE MAGNET,4,2011-09-15 14:07:00,0.39,17602,United Kingdom,Thursday
551291,22064,PINK DOUGHNUT TRINKET POT ,12,2011-04-27 14:26:00,1.45,14298,United Kingdom,Wednesday
574476,21623,VINTAGE UNION JACK MEMOBOARD,2,2011-11-04 12:20:00,9.95,17203,United Kingdom,Friday
562592,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,2011-08-07 15:43:00,1.65,13418,United Kingdom,Sunday
566987,22556,PLASTERS IN TIN CIRCUS PARADE ,36,2011-09-16 10:56:00,1.65,12476,Germany,Friday
572050,23069,EDWARDIAN PHOTO FRAME,2,2011-10-20 12:23:00,6.25,17346,United Kingdom,Thursday
567675,20755,BLUE PAISLEY POCKET BOOK,1,2011-09-21 15:54:00,0.85,15351,United Kingdom,Wednesday
551734,22587,FELTCRAFT HAIRBAND RED AND BLUE,12,2011-05-04 10:15:00,0.85,18178,United Kingdom,Wednesday
551283,22781,GUMBALL MAGAZINE RACK,2,2011-04-27 14:01:00,7.65,16755,United Kingdom,Wednesday
559418,23317,BLUE REFECTORY CLOCK ,2,2011-07-08 11:36:00,9.95,12681,France,Friday
562539,22900,SET 2 TEA TOWELS I LOVE LONDON ,4,2011-08-05 15:30:00,3.25,17220,United Kingdom,Friday
548388,21721,CANDY SHOP  STICKER SHEET,2,2011-03-30 16:52:00,0.85,13268,United Kingdom,Wednesday
572741,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2011-10-25 15:47:00,2.95,14341,United Kingdom,Tuesday
564300,23203,JUMBO BAG VINTAGE DOILY ,5,2011-08-24 11:31:00,2.08,16723,United Kingdom,Wednesday
567618,21915,RED  HARMONICA IN BOX ,12,2011-09-21 12:26:00,1.25,12721,France,Wednesday
571049,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2011-10-13 13:43:00,3.95,16670,United Kingdom,Thursday
544893,22637,PIGGY BANK RETROSPOT ,4,2011-02-24 12:01:00,2.55,17865,United Kingdom,Thursday
572682,22801,ANTIQUE GLASS PEDESTAL BOWL,1,2011-10-25 13:52:00,3.75,17928,United Kingdom,Tuesday
578936,23076,ICE CREAM SUNDAE LIP GLOSS,2,2011-11-27 13:00:00,1.25,16923,United Kingdom,Sunday
566581,23265,SET OF 3 WOODEN TREE DECORATIONS,6,2011-09-13 13:47:00,1.25,16081,United Kingdom,Tuesday
577857,21822,GLITTER CHRISTMAS TREE WITH BELLS,36,2011-11-22 11:21:00,0.79,13499,United Kingdom,Tuesday
546732,22331,WOODLAND PARTY BAG + STICKER SET,1,2011-03-16 11:41:00,1.65,14606,United Kingdom,Wednesday
537619,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2010-12-07 13:53:00,0.95,13786,United Kingdom,Tuesday
560547,47566,PARTY BUNTING,16,2011-07-19 12:39:00,4.95,17419,United Kingdom,Tuesday
542836,22197,SMALL POPCORN HOLDER,6,2011-02-01 11:31:00,0.85,16745,United Kingdom,Tuesday
541948,22079,RIBBON REEL HEARTS DESIGN ,5,2011-01-24 12:00:00,1.65,15820,United Kingdom,Monday
568046,23263,SET OF 3 WOODEN HEART DECORATIONS,1,2011-09-23 12:16:00,1.25,18118,United Kingdom,Friday
578140,47591D,PINK FAIRY CAKE CHILDRENS APRON,50,2011-11-23 10:58:00,1.65,14646,Netherlands,Wednesday
553186,82551,LAUNDRY 15C METAL SIGN,12,2011-05-15 12:46:00,1.45,13183,United Kingdom,Sunday
573345,47504K,ENGLISH ROSE GARDEN SECATEURS,3,2011-10-30 12:14:00,0.79,17609,United Kingdom,Sunday
578517,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,48,2011-11-24 13:53:00,0.29,16523,United Kingdom,Thursday
578835,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-11-25 15:44:00,3.75,12682,France,Friday
537738,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-08 11:02:00,12.75,17706,United Kingdom,Wednesday
568186,22797,CHEST OF DRAWERS GINGHAM HEART ,1,2011-09-25 14:08:00,16.95,17837,United Kingdom,Sunday
554009,22963,JAM JAR WITH GREEN LID,12,2011-05-20 12:38:00,0.85,12935,United Kingdom,Friday
565431,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2011-09-04 13:15:00,2.95,14965,United Kingdom,Sunday
567460,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-09-20 12:30:00,1.69,15888,United Kingdom,Tuesday
540455,21883,STARS GIFT TAPE ,144,2011-01-07 12:07:00,0.19,12583,France,Friday
547070,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-03-20 13:58:00,0.85,16115,United Kingdom,Sunday
570522,21931,JUMBO STORAGE BAG SUKI,100,2011-10-11 10:46:00,1.74,16029,United Kingdom,Tuesday
581253,22776,SWEETHEART 3 TIER CAKE STAND ,1,2011-12-08 11:15:00,9.95,16891,United Kingdom,Thursday
545066,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,4,2011-02-27 14:44:00,1.25,13610,United Kingdom,Sunday
545662,23194,GYMKHANNA TREASURE BOOK BOX,8,2011-03-04 14:42:00,2.25,15358,United Kingdom,Friday
565431,21174,POTTERING IN THE SHED METAL SIGN,1,2011-09-04 13:15:00,2.08,14965,United Kingdom,Sunday
573173,23320,GIANT 50'S CHRISTMAS CRACKER,12,2011-10-28 10:10:00,2.89,12362,Belgium,Friday
557499,22627,MINT KITCHEN SCALES,2,2011-06-20 15:25:00,8.5,16320,Unspecified,Monday
549116,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,2011-04-06 12:49:00,1.25,16670,United Kingdom,Wednesday
574678,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2011-11-06 12:36:00,2.1,13365,United Kingdom,Sunday
539106,22966,GINGERBREAD MAN COOKIE CUTTER,144,2010-12-16 10:51:00,1.06,16705,United Kingdom,Thursday
573340,20724,RED RETROSPOT CHARLOTTE BAG,4,2011-10-30 11:55:00,0.85,14159,United Kingdom,Sunday
577506,23554,LANDMARK FRAME OXFORD STREET,1,2011-11-20 12:40:00,12.5,13212,United Kingdom,Sunday
539439,22988,SOLDIERS EGG CUP ,12,2010-12-17 15:14:00,1.25,13869,United Kingdom,Friday
548860,22921,HERB MARKER CHIVES ,1,2011-04-04 13:38:00,0.65,13263,United Kingdom,Monday
563498,22193,RED DINER WALL CLOCK,2,2011-08-16 16:17:00,8.5,17719,United Kingdom,Tuesday
575982,23323,WHITE WICKER STAR ,1,2011-11-13 13:42:00,2.1,13798,United Kingdom,Sunday
537400,22956,36 FOIL HEART CAKE CASES,1,2010-12-06 14:36:00,2.1,17191,United Kingdom,Monday
563745,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2011-08-19 09:38:00,6.75,15159,United Kingdom,Friday
570288,23319,BOX OF 6 MINI 50'S CRACKERS,2,2011-10-10 11:47:00,2.49,16960,United Kingdom,Monday
572558,22493,PAINT YOUR OWN CANVAS SET,12,2011-10-25 08:26:00,1.65,14286,United Kingdom,Tuesday
546438,22692,DOORMAT WELCOME TO OUR HOME,10,2011-03-14 09:59:00,6.75,15125,United Kingdom,Monday
539042,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2010-12-15 15:37:00,1.25,15062,United Kingdom,Wednesday
552703,23068,ALUMINIUM STAMPED HEART,4,2011-05-10 16:00:00,2.49,14462,United Kingdom,Tuesday
562276,22386,JUMBO BAG PINK POLKADOT,10,2011-08-04 10:23:00,2.08,17735,United Kingdom,Thursday
556776,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,4,2011-06-14 12:24:00,0.83,14730,United Kingdom,Tuesday
543281,20615,BLUE POLKADOT PASSPORT COVER,1,2011-02-06 15:34:00,2.1,14606,United Kingdom,Sunday
554597,84978,HANGING HEART JAR T-LIGHT HOLDER,24,2011-05-25 11:01:00,1.25,15140,United Kingdom,Wednesday
553206,23206,LUNCH BAG APPLE DESIGN,10,2011-05-16 08:16:00,1.65,14156,EIRE,Monday
576345,46775D,SUNSET COLOUR CHUNKY KNITTED THROW,2,2011-11-14 15:37:00,16.95,12374,Austria,Monday
565181,22659,LUNCH BOX I LOVE LONDON,192,2011-09-01 15:52:00,1.65,17381,United Kingdom,Thursday
557764,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-06-22 14:21:00,4.95,13089,United Kingdom,Wednesday
561170,22492,MINI PAINT SET VINTAGE ,36,2011-07-25 13:16:00,0.65,16027,United Kingdom,Monday
566781,22816,CARD MOTORBIKE SANTA,24,2011-09-15 10:11:00,0.42,17333,United Kingdom,Thursday
565778,22867,HAND WARMER BIRD DESIGN,12,2011-09-06 15:04:00,2.1,17460,United Kingdom,Tuesday
569491,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-10-04 13:25:00,2.95,14056,United Kingdom,Tuesday
541110,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,2011-01-13 15:11:00,0.65,15916,United Kingdom,Thursday
559552,22899,CHILDREN'S APRON DOLLY GIRL ,1,2011-07-10 16:29:00,2.1,16014,United Kingdom,Sunday
557350,22807,SET OF 6 T-LIGHTS TOADSTOOLS,6,2011-06-20 10:41:00,2.95,16670,United Kingdom,Monday
555835,23170,REGENCY TEA PLATE ROSES ,12,2011-06-07 12:34:00,1.65,14525,United Kingdom,Tuesday
561106,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,2011-07-25 11:37:00,2.1,14246,United Kingdom,Monday
574619,23344,JUMBO BAG 50'S CHRISTMAS ,3,2011-11-06 11:18:00,2.08,15952,United Kingdom,Sunday
537204,21802,CHRISTMAS TREE HEART DECORATION,15,2010-12-05 14:45:00,0.42,15555,United Kingdom,Sunday
575269,22116,METAL SIGN HIS DINNER IS SERVED,12,2011-11-09 12:08:00,0.79,17865,United Kingdom,Wednesday
563574,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2011-08-17 15:05:00,0.85,15827,United Kingdom,Wednesday
569236,22778,GLASS CLOCHE SMALL,1,2011-10-02 15:49:00,3.95,14432,United Kingdom,Sunday
553920,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-05-20 08:57:00,2.55,15955,United Kingdom,Friday
575213,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2011-11-09 10:47:00,2.1,16210,United Kingdom,Wednesday
579167,23335,EGG FRYING PAN IVORY ,2,2011-11-28 14:06:00,2.08,16800,United Kingdom,Monday
571837,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,5,2011-10-19 12:11:00,4.95,16470,United Kingdom,Wednesday
555719,21395,BLUE POLKADOT BEAKER ,48,2011-06-06 15:31:00,0.39,12609,Germany,Monday
563749,23285,PINK VINTAGE SPOT BEAKER,8,2011-08-19 10:10:00,0.85,12360,Austria,Friday
560996,21380,WOODEN HAPPY BIRTHDAY GARLAND,3,2011-07-22 13:53:00,2.95,17625,United Kingdom,Friday
541847,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-01-23 13:25:00,4.95,15443,United Kingdom,Sunday
559354,22710,WRAP I LOVE LONDON ,25,2011-07-07 18:02:00,0.42,16012,United Kingdom,Thursday
542147,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,12,2011-01-26 10:02:00,2.95,12782,Portugal,Wednesday
563928,23242,TREASURE TIN BUFFALO BILL ,2,2011-08-21 15:17:00,2.08,17059,United Kingdom,Sunday
558994,47566,PARTY BUNTING,50,2011-07-05 11:58:00,4.15,13854,United Kingdom,Tuesday
545690,22151,PLACE SETTING WHITE HEART,2,2011-03-06 12:46:00,0.42,13263,United Kingdom,Sunday
568050,21239,PINK  POLKADOT CUP,4,2011-09-23 12:38:00,0.85,15901,United Kingdom,Friday
564489,21242,RED RETROSPOT PLATE ,4,2011-08-25 14:13:00,1.69,15950,United Kingdom,Thursday
558563,35637A,IVORY STRING CURTAIN WITH POLE ,2,2011-06-30 13:43:00,5.95,14561,United Kingdom,Thursday
567326,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-09-19 14:38:00,0.85,14290,United Kingdom,Monday
564329,POST,POSTAGE,2,2011-08-24 13:55:00,18.0,12569,Germany,Wednesday
551531,22698,PINK REGENCY TEACUP AND SAUCER,8,2011-05-01 13:45:00,2.95,15376,United Kingdom,Sunday
536845,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,2010-12-02 19:18:00,1.25,17961,United Kingdom,Thursday
547069,22113,GREY HEART HOT WATER BOTTLE,2,2011-03-20 13:52:00,3.75,16710,United Kingdom,Sunday
571914,22523,CHILDS GARDEN FORK PINK,12,2011-10-19 15:33:00,0.85,14776,United Kingdom,Wednesday
553507,21592,RETROSPOT CIGAR BOX MATCHES ,4,2011-05-17 13:35:00,1.25,17220,United Kingdom,Tuesday
568669,23080,RED METAL BOX TOP SECRET,4,2011-09-28 13:04:00,8.25,13488,United Kingdom,Wednesday
539338,22949,36 DOILIES DOLLY GIRL,144,2010-12-17 10:54:00,1.45,17404,Sweden,Friday
574659,85014A,BLACK/BLUE POLKADOT UMBRELLA,1,2011-11-06 11:44:00,5.95,16942,United Kingdom,Sunday
573149,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,3,2011-10-27 19:56:00,2.95,16438,United Kingdom,Thursday
561025,22092,BLUE PAISLEY TISSUE BOX,1,2011-07-24 10:37:00,0.39,16241,United Kingdom,Sunday
540176,22382,LUNCH BAG SPACEBOY DESIGN ,100,2011-01-05 12:40:00,1.45,17511,United Kingdom,Wednesday
575854,21889,WOODEN BOX OF DOMINOES,12,2011-11-11 12:20:00,1.25,14125,United Kingdom,Friday
558233,22804,CANDLEHOLDER PINK HANGING HEART,6,2011-06-27 14:36:00,2.95,18073,United Kingdom,Monday
565249,23005,TRAVEL CARD WALLET I LOVE LONDON,24,2011-09-02 10:38:00,0.42,18027,United Kingdom,Friday
576595,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,2011-11-15 14:56:00,2.55,14911,EIRE,Tuesday
571229,22804,PINK HANGING HEART T-LIGHT HOLDER,1,2011-10-14 14:04:00,2.95,15453,United Kingdom,Friday
542401,20898,VINTAGE NOTEBOOK TRAVELOGUE,1,2011-01-27 15:51:00,2.95,14541,United Kingdom,Thursday
537141,22725,ALARM CLOCK BAKELIKE CHOCOLATE,3,2010-12-05 12:57:00,3.75,15570,United Kingdom,Sunday
541631,22630,DOLLY GIRL LUNCH BOX,12,2011-01-20 10:48:00,1.95,12637,France,Thursday
571056,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-10-13 14:10:00,2.95,15367,United Kingdom,Thursday
554916,22090,PAPER BUNTING RETROSPOT,3,2011-05-27 12:26:00,2.95,17345,United Kingdom,Friday
548211,21209,MULTICOLOUR HONEYCOMB FAN,48,2011-03-30 09:06:00,1.45,14646,Netherlands,Wednesday
560048,16161P,WRAP ENGLISH ROSE ,25,2011-07-14 15:02:00,0.42,13515,United Kingdom,Thursday
579286,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-11-29 10:57:00,0.95,17772,United Kingdom,Tuesday
566648,22741,FUNKY DIVA PEN,48,2011-09-14 11:25:00,0.85,14198,United Kingdom,Wednesday
578045,22992,REVOLVER WOODEN RULER ,1,2011-11-22 14:43:00,1.95,17297,United Kingdom,Tuesday
559058,22644,CERAMIC CHERRY CAKE MONEY BANK,24,2011-07-06 09:49:00,1.45,12407,Belgium,Wednesday
572067,23199,JUMBO BAG APPLES,10,2011-10-20 13:13:00,2.08,16099,United Kingdom,Thursday
580879,84519B,CARROT CHARLIE+LOLA COASTER SET,1,2011-12-06 12:18:00,1.25,17346,United Kingdom,Tuesday
572331,23391, I LOVE LONDON MINI BACKPACK,4,2011-10-24 10:18:00,4.15,16491,United Kingdom,Monday
545295,22567,20 DOLLY PEGS RETROSPOT,20,2011-03-01 12:09:00,1.25,12709,Germany,Tuesday
578944,22097,SWALLOW SQUARE TISSUE BOX,2,2011-11-27 13:41:00,0.39,16005,United Kingdom,Sunday
544309,79000,MOROCCAN TEA GLASS,24,2011-02-17 14:17:00,0.85,15785,United Kingdom,Thursday
545304,22607,WOODEN ROUNDERS GARDEN SET ,2,2011-03-01 12:51:00,9.95,16212,United Kingdom,Tuesday
564065,23298,SPOTTY BUNTING,6,2011-08-22 15:05:00,4.95,15150,United Kingdom,Monday
580289,21166,COOK WITH WINE METAL SIGN ,12,2011-12-02 13:32:00,2.08,15856,United Kingdom,Friday
540040,22467,GUMBALL COAT RACK,36,2011-01-04 14:20:00,2.1,12483,Sweden,Tuesday
577773,23349,ROLL WRAP VINTAGE CHRISTMAS,3,2011-11-21 15:57:00,1.25,16712,United Kingdom,Monday
559418,22314,OFFICE MUG WARMER CHOC+BLUE,6,2011-07-08 11:36:00,2.95,12681,France,Friday
567126,23203,JUMBO BAG VINTAGE DOILY ,2,2011-09-16 13:53:00,2.08,17238,United Kingdom,Friday
556510,79321,CHILLI LIGHTS,4,2011-06-13 10:36:00,5.75,14911,EIRE,Monday
548320,21452,TOADSTOOL MONEY BOX,20,2011-03-30 12:54:00,2.95,12709,Germany,Wednesday
539053,22095,LADS ONLY TISSUE BOX,1,2010-12-15 16:32:00,1.25,16725,United Kingdom,Wednesday
571498,22993,SET OF 4 PANTRY JELLY MOULDS,7,2011-10-17 15:06:00,1.25,17841,United Kingdom,Monday
570488,15060B,FAIRY CAKE DESIGN UMBRELLA,1,2011-10-10 17:12:00,8.29,14096,United Kingdom,Monday
537995,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-09 11:39:00,2.55,12712,Germany,Thursday
554979,84971S,SMALL HEART FLOWERS HOOK ,3,2011-05-29 11:34:00,0.85,16931,United Kingdom,Sunday
572023,23517,EMBROIDERED RIBBON REEL REBECCA ,12,2011-10-20 11:03:00,2.89,17764,United Kingdom,Thursday
540161,37370,RETRO COFFEE MUGS ASSORTED,4,2011-01-05 11:52:00,1.25,16719,United Kingdom,Wednesday
550001,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-04-14 09:28:00,4.15,17704,United Kingdom,Thursday
569721,11001,ASSTD DESIGN RACING CAR PEN,16,2011-10-06 09:28:00,1.69,12628,Germany,Thursday
545290,21925,UNION STRIPE CUSHION COVER ,6,2011-03-01 12:01:00,1.25,14688,United Kingdom,Tuesday
536783,16237,SLEEPING CAT ERASERS,270,2010-12-02 15:19:00,0.16,15061,United Kingdom,Thursday
570693,21385,IVORY HANGING DECORATION  HEART,4,2011-10-11 16:50:00,0.85,16161,United Kingdom,Tuesday
548698,22197,SMALL POPCORN HOLDER,6,2011-04-03 10:55:00,0.85,18109,United Kingdom,Sunday
574840,90059F,DIAMANTE HAIR GRIP PACK/2 LT ROSE,1,2011-11-07 11:41:00,1.65,12748,United Kingdom,Monday
538418,20751,FUNKY WASHING UP GLOVES ASSORTED,3,2010-12-12 12:00:00,2.1,17372,United Kingdom,Sunday
545022,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2011-02-25 14:24:00,2.1,12921,United Kingdom,Friday
575195,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,2011-11-09 09:40:00,1.65,16767,United Kingdom,Wednesday
551724,82600,NO SINGING METAL SIGN,1,2011-05-03 17:12:00,2.1,15976,United Kingdom,Tuesday
